id,gc,gc_skew,cpg_density,aa_lcr_fraction,nt_repeat_fraction,aa_len,cds_len
Phodopus_roborovskii,0.50687,-0.04762,0.01166,0.04245,0.68373,801,2403
Rana_temporaria,0.44112,-0.0009,0.01677,0.07545,0.68224,835,2505
Grus_americana,0.40178,0.02021,0.01586,0.03016,0.69219,862,2586
Microtus_oregoni,0.51167,-0.05049,0.01251,0.03375,0.66958,800,2400
Canis_lupus_dingo,0.55986,-0.07617,0.03405,0.05164,0.66236,852,2556
Ceratotherium_simum_simum,0.49903,-0.07344,0.02418,0.0807,0.65458,855,2565
Lemur_catta,0.5056,-0.08174,0.02164,0.08806,0.65778,863,2589
Ursus_americanus,0.58521,-0.05541,0.05498,0.09371,0.64413,843,2529
Macaca_nemestrina,0.48251,-0.07167,0.01368,0.01448,0.64375,829,2487
Aythya_fuligula,0.44818,-0.01429,0.02482,0.01561,0.70188,833,2499
Leptonychotes_weddellii,0.56529,-0.08321,0.04868,0.05231,0.64842,822,2466
Ovis_canadensis,0.5949,-0.10724,0.03869,0.07775,0.65829,836,2508
Peromyscus_eremicus,0.52129,-0.05393,0.01326,0.04578,0.67631,830,2490
Octodon_degus,0.47342,-0.06014,0.01101,0.0,0.70235,878,2634
Phacochoerus_africanus,0.60079,-0.07662,0.03652,0.0881,0.6496,840,2520
Aptenodytes_forsteri,0.40046,0.00383,0.01535,0.03107,0.68431,869,2607
Charadrius_vociferus,0.40199,0.00573,0.0142,0.03107,0.72037,869,2607
Globicephala_melas,0.6264,-0.06675,0.06197,0.13937,0.63105,861,2583
Rhinopithecus_roxellana,0.47809,-0.07317,0.01247,0.01448,0.64978,829,2487
Suncus_etruscus,0.51464,-0.11925,0.02167,0.05415,0.66988,831,2493
Rissa_tridactyla,0.41129,0.00654,0.01882,0.01498,0.69547,868,2604
Aotus_nancymaae,0.48752,-0.0801,0.01732,0.0314,0.64291,828,2484
Phasianus_colchicus,0.39977,0.00288,0.00884,0.0,0.66667,868,2604
Panthera_leo,0.5456,-0.06509,0.03432,0.04358,0.65698,826,2478
Eumetopias_jubatus,0.56204,-0.08369,0.04462,0.05231,0.63747,822,2466
Loxodonta_africana,0.49886,-0.0898,0.02393,0.05011,0.63402,878,2634
Nannospalax_galili,0.51304,-0.07863,0.00815,0.05501,0.67237,818,2454
Oxyura_jamaicensis,0.43254,-0.00367,0.02104,0.0,0.70238,840,2520
Columba_livia,0.41821,0.00738,0.01582,0.01852,0.6875,864,2592
Bufo_bufo,0.44157,0.01367,0.01855,0.07115,0.70548,773,2319
Lathamus_discolor,0.4112,-0.00187,0.01151,0.02992,0.69198,869,2607
Macaca_mulatta,0.4809,-0.0786,0.01368,0.01448,0.64616,829,2487
Molothrus_ater,0.43658,0.03809,0.01161,0.0,0.71346,862,2586
Molossus_molossus,0.50643,-0.10491,0.02143,0.03342,0.63796,778,2334
Coturnix_japonica,0.40656,0.00984,0.01121,0.03001,0.70628,833,2499
Calypte_anna,0.41567,-0.02392,0.01234,0.01432,0.714,838,2514
Monodelphis_domestica,0.47248,-0.04659,0.0177,0.03066,0.67807,848,2544
Pseudophryne_corroboree,0.41311,0.00835,0.01812,0.07633,0.70763,773,2319
Macaca_fascicularis,0.48372,-0.07398,0.01488,0.01448,0.64696,829,2487
Hyaena_hyaena,0.56911,-0.06429,0.04392,0.03537,0.64512,820,2460
Pezoporus_wallicus,0.42264,-0.00499,0.01266,0.02743,0.70148,948,2844
Pteropus_alecto,0.49229,-0.09207,0.02393,0.04816,0.64432,1059,3177
Pseudopodoces_humilis,0.42208,0.00261,0.0099,0.0132,0.72387,909,2727
Artibeus_jamaicensis,0.53933,-0.10185,0.03747,0.09738,0.65501,801,2403
Vidua_macroura,0.42034,0.01748,0.00967,0.01392,0.7123,862,2586
Colobus_angolensis_palliatus,0.47866,-0.06812,0.01248,0.03019,0.65902,828,2484
Antrostomus_carolinensis,0.41023,-0.00687,0.0153,0.0157,0.69968,828,2484
Chlamydotis_macqueenii,0.41532,0.01019,0.01617,0.01963,0.72556,866,2598
Passer_domesticus,0.4336,0.01964,0.01084,0.01394,0.70732,861,2583
Lagenorhynchus_albirostris,0.63146,-0.06939,0.0638,0.1338,0.62559,852,2556
Hippopotamus_amphibius_kiboko,0.5893,-0.11169,0.04659,0.08776,0.64011,866,2598
Equus_quagga,0.52147,-0.07485,0.03007,0.08665,0.64949,854,2562
Rhinolophus_ferrumequinum,0.49939,-0.11928,0.02122,0.04529,0.66585,817,2451
Pleurodeles_waltl,0.42893,0.01662,0.02307,0.03145,0.71153,795,2385
Aphelocoma_coerulescens,0.42471,0.01029,0.01391,0.03337,0.70997,839,2517
Mauremys_reevesii,0.38158,-0.02612,0.00917,0.0,0.65032,836,2508
Equus_asinus,0.50768,-0.05108,0.02696,0.07574,0.66462,977,2931
Sturnira_hondurensis,0.532,-0.11406,0.03077,0.08105,0.65669,802,2406
Budorcas_taxicolor,0.59888,-0.10786,0.04108,0.1256,0.64912,836,2508
Amblyraja_radiata,0.46077,0.00932,0.02635,0.04639,0.68385,1164,3492
Desmodus_rotundus,0.53191,-0.09778,0.03311,0.07683,0.65603,846,2538
Cinclus_cinclus,0.42857,0.02296,0.0126,0.0,0.72885,847,2541
Falco_peregrinus,0.40506,0.02083,0.01036,0.01496,0.70042,869,2607
Trichosurus_vulpecula,0.43992,-0.05263,0.00919,0.01437,0.66667,835,2505
Marmota_monax,0.46511,-0.07628,0.00858,0.03509,0.64483,855,2565
Taeniopygia_guttata,0.4376,0.03986,0.01473,0.01395,0.72171,860,2580
Vulpes_vulpes,0.55795,-0.08596,0.03279,0.04556,0.66347,834,2502
Cavia_porcellus,0.49074,-0.07465,0.0149,0.03019,0.67955,828,2484
Neophocaena_asiaeorientalis_asiaeorientalis,0.62056,-0.06943,0.06087,0.14172,0.62358,882,2646
Chionomys_nivalis,0.51167,-0.05537,0.01417,0.03375,0.67292,800,2400
Equus_caballus,0.50879,-0.05783,0.02656,0.07858,0.65698,929,2787
Cyanistes_caeruleus,0.42261,0.02811,0.01227,0.03103,0.70805,870,2610
Agelaius_phoeniceus,0.4388,0.02982,0.01194,0.01732,0.7117,866,2598
Chroicocephalus_ridibundus,0.41014,0.00375,0.01806,0.01498,0.70276,868,2604
Eptesicus_fuscus,0.51485,-0.10154,0.02259,0.06524,0.63655,797,2391
Peromyscus_maniculatus_bairdii,0.52236,-0.03658,0.01383,0.04146,0.69146,820,2460
Zonotrichia_albicollis,0.43964,0.031,0.0113,0.01869,0.71846,856,2568
Indicator_indicator,0.43654,-0.02102,0.01338,0.04587,0.72745,872,2616
Ambystoma_mexicanum,0.42417,-0.01721,0.01988,0.04866,0.68289,822,2466
Capra_hircus,0.59561,-0.09786,0.04073,0.08862,0.64511,835,2505
Ursus_arctos,0.58561,-0.05334,0.05459,0.08066,0.64413,843,2529
Heterocephalus_glaber,0.51804,-0.0598,0.01922,0.06,0.66588,850,2550
Trichechus_manatus_latirostris,0.57576,-0.05398,0.04392,0.07343,0.66589,858,2574
Opisthocomus_hoazin,0.41387,0.00372,0.01272,0.0,0.70674,865,2595
Physeter_macrocephalus,0.64843,-0.05566,0.07376,0.15367,0.63058,859,2577
Bos_taurus,0.58867,-0.09125,0.03717,0.10706,0.66152,906,2718
Pipra_filicauda,0.41782,0.00831,0.01196,0.05093,0.70409,864,2592
Lontra_canadensis,0.55314,-0.08443,0.03866,0.05072,0.64775,828,2484
Terrapene_triunguis,0.37799,-0.03586,0.00917,0.0,0.63876,836,2508
Dasypus_novemcinctus,0.66421,-0.06289,0.0807,0.18919,0.65643,814,2442
Ovis_aries,0.59441,-0.11216,0.03794,0.08503,0.65429,835,2505
Pelobates_fuscus,0.41179,-0.01895,0.01951,0.05332,0.6632,769,2307
Saccopteryx_leptura,0.55964,-0.06715,0.02942,0.05392,0.62418,816,2448
Pezoporus_flaviventris,0.42264,-0.00666,0.01266,0.02743,0.70218,948,2844
Mauremys_mutica,0.37998,-0.02204,0.00838,0.0,0.64673,836,2508
Rhinopithecus_bieti,0.47809,-0.07317,0.01287,0.01448,0.65058,829,2487
Castor_canadensis,0.48451,-0.07088,0.00934,0.05263,0.68048,893,2679
Numida_meleagris,0.40931,0.02821,0.01006,0.04246,0.72179,895,2685
Ammospiza_nelsoni,0.44316,0.03141,0.01315,0.0,0.72699,862,2586
Tupaia_chinensis,0.55751,-0.06105,0.03092,0.0939,0.66549,852,2556
Galeopterus_variegatus,0.46517,-0.09519,0.01493,0.04776,0.66965,670,2010
Eleutherodactylus_coqui,0.47151,-0.01427,0.03591,0.05518,0.69493,743,2229
Ficedula_albicollis,0.43605,0.01805,0.01299,0.0,0.71468,847,2541
Mus_pahari,0.50543,-0.05124,0.01128,0.01629,0.70551,798,2394
Centrocercus_urophasianus,0.41667,0.03318,0.01308,0.01345,0.68274,892,2676
Cercocebus_atys,0.48459,-0.0834,0.01481,0.01441,0.65106,833,2499
